dm,gdr,smk,age,sbp,chl,refv,AFR_D,AFR_E,AMR_A,AMR_B,AMR_D,EMR_B,EMR_D,EUR_A,EUR_B,EUR_C,SEAR_B,SEAR_D,WPR_B,WPR_A
1,0,1,40,120,4,400111204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,1,40,120,5,400111205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,1,40,120,6,400111206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,1,40,120,7,400111207,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
1,0,1,40,120,8,400111208,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,<10%,20% to <30%,30% to <40%,<10%,<10%
1,0,1,40,140,4,400111404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,1,40,140,5,400111405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%
1,0,1,40,140,6,400111406,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
1,0,1,40,140,7,400111407,10% to <20%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,<10%,30% to <40%,30% to <40%,10% to <20%,10% to <20%
1,0,1,40,140,8,400111408,20% to <30%,20% to <30%,>=40%,30% to <40%,30% to <40%,10% to <20%,20% to <30%,10% to <20%,30% to <40%,20% to <30%,>=40%,>=40%,30% to <40%,10% to <20%
1,0,1,40,160,4,400111604,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,20% to <30%,<10%,<10%
1,0,1,40,160,5,400111605,10% to <20%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,30% to <40%,20% to <30%,20% to <30%,10% to <20%
1,0,1,40,160,6,400111606,20% to <30%,20% to <30%,30% to <40%,>=40%,30% to <40%,20% to <30%,20% to <30%,<10%,20% to <30%,10% to <20%,>=40%,>=40%,20% to <30%,20% to <30%
1,0,1,40,160,7,400111607,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%,10% to <20%,>=40%,20% to <30%,>=40%,>=40%,>=40%,30% to <40%
1,0,1,40,160,8,400111608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,40,180,4,400111804,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%,10% to <20%,30% to <40%,20% to <30%,>=40%,>=40%,>=40%,30% to <40%
1,0,1,40,180,5,400111805,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%
1,0,1,40,180,6,400111806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,40,180,7,400111807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,40,180,8,400111808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,50,120,4,500111204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,1,50,120,5,500111205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,1,50,120,6,500111206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
1,0,1,50,120,7,500111207,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,20% to <30%,<10%,<10%
1,0,1,50,120,8,500111208,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,10% to <20%,20% to <30%,>=40%,10% to <20%,<10%
1,0,1,50,140,4,500111404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,0,1,50,140,5,500111405,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
1,0,1,50,140,6,500111406,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,20% to <30%,30% to <40%,10% to <20%,<10%
1,0,1,50,140,7,500111407,20% to <30%,20% to <30%,30% to <40%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,<10%,20% to <30%,10% to <20%,30% to <40%,>=40%,20% to <30%,10% to <20%
1,0,1,50,140,8,500111408,20% to <30%,20% to <30%,>=40%,30% to <40%,>=40%,30% to <40%,30% to <40%,10% to <20%,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,20% to <30%
1,0,1,50,160,4,500111604,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,20% to <30%,20% to <30%,10% to <20%,10% to <20%
1,0,1,50,160,5,500111605,10% to <20%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,20% to <30%,20% to <30%,<10%,10% to <20%,10% to <20%,30% to <40%,30% to <40%,20% to <30%,10% to <20%
1,0,1,50,160,6,500111606,20% to <30%,20% to <30%,>=40%,>=40%,30% to <40%,30% to <40%,30% to <40%,10% to <20%,20% to <30%,10% to <20%,>=40%,>=40%,30% to <40%,20% to <30%
